2yfi	burkholderia_xenovorans	P37333	P37334
2wdv	escherichia_coli	P0AC41	P0AC44
2wdv	escherichia_coli	P07014	P0AC41
2wdv	escherichia_coli	P07014	P69054
2wdv	escherichia_coli	P07014	P0AC44
2wdv	escherichia_coli	P0AC44	P69054
1zyr	thermus_thermophilus	Q5SHR6	Q8RQE9
1zyr	thermus_thermophilus	Q5SHR6	Q8RQE8
1zyr	thermus_thermophilus	Q5SHR6	Q8RQE7
1zyr	thermus_thermophilus	Q5SHR6	Q5SKW1
1zyr	thermus_thermophilus	Q8RQE8	Q8RQE9
1zyr	thermus_thermophilus	Q8RQE7	Q8RQE9
1zyr	thermus_thermophilus	Q8RQE7	Q8RQE8
1zyr	thermus_thermophilus	Q5SKW1	Q8RQE9
1zyr	thermus_thermophilus	Q5SKW1	Q8RQE8
1zyr	thermus_thermophilus	Q5SKW1	Q8RQE7
3rko	escherichia_coli	C6E9R4	C6E9S4
3rko	escherichia_coli	C6E9R4	C6E9S5
3rko	escherichia_coli	C6E9R4	C6E9S6
3rko	escherichia_coli	C6E9R4	C6E9S2
3rko	escherichia_coli	C6E9S4	C6E9S5
3rko	escherichia_coli	C6E9S4	C6E9S6
3rko	escherichia_coli	C6E9S5	C6E9S6
3rko	escherichia_coli	C6E9S2	C6E9S4
3rko	escherichia_coli	C6E9S2	C6E9S5
3rko	escherichia_coli	C6E9S2	C6E9S6
3rko	escherichia_coli	C5W716	C6E9R4
3rko	escherichia_coli	C5W716	C6E9S4
3rko	escherichia_coli	C5W716	C6E9S5
3rko	escherichia_coli	C5W716	C6E9S6
3rko	escherichia_coli	C5W716	C6E9S2
1v74	escherichia_coli	P11899	P17998
4gd3	escherichia_coli	P0AAM1	P0ACD8
4gd3	escherichia_coli	P0AAM1	P69739
4gd3	escherichia_coli	P0ACD8	P69739
3r2d	aquifex_aeolicus	O66430	O66530
1o94	methylophilus_methylotrophus	P16099	P53570
1o94	methylophilus_methylotrophus	P16099	P53571
1r27	escherichia_coli	P09152	P11349
1s5d	vibrio_cholerae	P01555	P01556
3dwg	mycobacterium_tuberculosis	P9WP32	P9WP52
1ffg	escherichia_coli	P07363	P0AE67
1oao	moorella_thermoacetica	P27988	P27989
2h9a	carboxydothermus_hydrogenoformans	Q3ACS0	Q3ACS3
2xxa	escherichia_coli	P0AGD7	P10121
1yko	pseudomonas_putida	P00436	P00437
4gy3	thermosynechococcus_vulcanus	Q71RW8	Q9AM02
4h99	rhodobacter_sphaeroides	P0C0Y7	P0C0Y8
4h99	rhodobacter_sphaeroides	P0C0Y7	P0C0Y9
4h99	rhodobacter_sphaeroides	P0C0Y8	P0C0Y9
3cjt	thermus_thermophilus	Q5SLP6	Q84BQ9
3puw	escherichia_coli	P0AEX9	P68187
3puw	escherichia_coli	P0AEX9	P68183
3puw	escherichia_coli	P02916	P68187
3puw	escherichia_coli	P02916	P0AEX9
3puw	escherichia_coli	P02916	P68183
3puw	escherichia_coli	P68183	P68187
4bwg	escherichia_coli	Q3ZTX8	Q6EZC2
2f9y	escherichia_coli	4902926	P0A9Q5
2vrh	escherichia_coli	P0A850	P0ADZ0
2vrh	escherichia_coli	P0A850	P60624
2vrh	escherichia_coli	P0ADZ0	P60624
2vrh	escherichia_coli	P0A7M6	P0A850
2vrh	escherichia_coli	P0A7M6	P0ADZ0
2vrh	escherichia_coli	P0A7M6	P60624
3a1p	thermus_thermophilus	Q5SHP2	Q5SJH5
2xg8	synechococcus_elongatus	P0A3F4	Q7X386
1h4i	methylobacterium_extorquens	P14775	P16027
2xdf	escherichia_coli	P08839	P0AA04
3gkl	escherichia_coli	P13479	Q47112
1wdl	pseudomonas_fragi	P28790	P28793
3q8x	streptococcus_pyogenes	Q54944	Q57231
1r6o	escherichia_coli	P0A8Q6	P0ABH9
4h2s	bradyrhizobium_japonicum	Q89VT6	Q89VT8
4f6t	azotobacter_vinelandii	P84253	P84308
1dkg	escherichia_coli	P09372	P0A6Y8
3n39	escherichia_coli	P0A772	P37146
2gc7	paracoccus_denitrificans	69934851	P22619
2gc7	paracoccus_denitrificans	69934851	P22364
2gc7	paracoccus_denitrificans	69934851	P29899
2gc7	paracoccus_denitrificans	P22619	P29899
2gc7	paracoccus_denitrificans	P22364	P22619
2gc7	paracoccus_denitrificans	P22364	P29899
1sb3	thauera_aromatica	O33819	O33820
1sb3	thauera_aromatica	O33818	O33819
1sb3	thauera_aromatica	O33818	O33820
2zpg	rhodococcus_erythropolis	P13448	P13449
1xjw	escherichia_coli	P0A786	P0A7F3
2vpw	thermus_thermophilus	Q72LA4	Q72LA5
2vpw	thermus_thermophilus	Q72LA4	Q72LA6
2vpw	thermus_thermophilus	Q72LA5	Q72LA6
1gx7	desulfovibrio_vulgaris	P07598	P07603
1gx7	desulfovibrio_vulgaris	P00131	P07598
1gx7	desulfovibrio_vulgaris	P00131	P07603
3gme	escherichia_coli	A7ZKI9	A7ZS61
2zmy	streptomyces_castaneoglobisporus	Q83WS1	Q83WS2
2ysu	escherichia_coli	P04419	P06129
4e6n	clostridium_thermocellum	A3DJ37	A3DJ38
3zh7	haemophilus_influenzae	C4F5U7	P43961
1fma	escherichia_coli	P30748	P30749
3j46	escherichia_coli	P0A7L0	P0AG96
3j46	escherichia_coli	P0A7L0	P0AG99
3j46	escherichia_coli	P0A7L0	P0ADZ0
3j46	escherichia_coli	P0A7L0	P60624
3j46	escherichia_coli	P0A7L0	P0A7M6
3j46	escherichia_coli	P0A7L0	P0AGA2
3j46	escherichia_coli	P0AG96	P0AG99
3j46	escherichia_coli	P0AG96	P60624
3j46	escherichia_coli	P0AG96	P0AGA2
3j46	escherichia_coli	P0AG99	P60624
3j46	escherichia_coli	P0AG99	P0AGA2
3j46	escherichia_coli	P0ADZ0	P0AG96
3j46	escherichia_coli	P0ADZ0	P0AG99
3j46	escherichia_coli	P0ADZ0	P0AGA2
3j46	escherichia_coli	P0A7M6	P0AG96
3j46	escherichia_coli	P0A7M6	P0AG99
3j46	escherichia_coli	P0A7M6	P0AGA2
3j46	escherichia_coli	P0AGA2	P60624
1g72	methylophilus_methylotrophus	P38539	P38540
3foe	streptococcus_pneumoniae	P72525	Q59961
4ihf	escherichia_coli	G7RM21	P21645
3teh	thermus_thermophilus	P27001	P27002
2wx5	rhodobacter_sphaeroides	Q3J170	Q3J1A5
2wx5	rhodobacter_sphaeroides	Q3J170	Q3J1A6
2wx5	rhodobacter_sphaeroides	Q3J1A5	Q3J1A6
3ze9	desulfovibrio_vulgaris	Q72AS3	Q72AS4
3vti	thermoanaerobacter_tengcongensis	Q8RDA7	Q8RDB0
1nm5	rhodospirillum_rubrum	Q2RSB2	Q2RSB4
1ugq	pseudonocardia_thermophila	Q7SID2	Q7SID3
1bgs	bacillus_amyloliquefaciens	P00648	P11540
3m4w	escherichia_coli	P0AFX7	P0AFX9
1e3d	desulfovibrio_desulfuricans	Q9L868	Q9L869
2a9h	streptomyces_lividans	P0A334	P13487
1ha7	spirulina_platensis	P72508	P72509
3v0b	clostridium_botulinum	P10845	Q45914
2p58	yersinia_pestis	O68691	O68692
2p58	yersinia_pestis	O68690	O68692
2p58	yersinia_pestis	O68690	O68691
2y8n	clostridium_scatologenes	Q38HX3	Q38HX4
1jqs	escherichia_coli	P13551	P29395
3tnd	shigella_flexneri	O06662	O06663
1tet	mus_musculus	2072131	PC4203
3nb3	escherichia_coli	P06996	P0A910
1nbw	klebsiella_pneumoniae	Q48423	Q59474
2p7v	escherichia_coli	P0AFX4	Q0P6L9
3q4h	mycobacterium_smegmatis	A0QQ43	A0QQ44
4kh1	escherichia_coli	E8Y328	E8Y329
4hr7	escherichia_coli	P0ABD8	P24182
3t1q	thermus_thermophilus	Q5SJ82	Q5SJ83
1kzu	rhodoblastus_acidophilus	P26789	P26790
1x75	escherichia_coli	P0AES4	P62554
3nuh	escherichia_coli	P0AES4	P0AES6
1qh8	klebsiella_pneumoniae	P00466	P09772
3rgb	methylococcus_capsulatus	G1UBD1	Q607G3
3rgb	methylococcus_capsulatus	G1UBD1	Q603F1
3rgb	methylococcus_capsulatus	Q603F1	Q607G3
1y69	deinococcus_radiodurans	P0A805	Q9RXJ5
1y69	deinococcus_radiodurans	P0A805	Q9RY65
1y69	deinococcus_radiodurans	Q9RXJ5	Q9RY65
3csn	serratia_marcescens	Q54450	Q79AD2
3o5t	azospirillum_brasilense	A7XNI2	P70731
2lrl	escherichia_coli	P0AA04	P69791
1pys	thermus_thermophilus	Q5SGX1	Q5SGX2
3ml1	ralstonia_eutropha	P39185	P39186
2oz1	rhodovulum_sulfidophilum	Q939U1	Q939U4
3pvy	escherichia_coli	P76077	P76079
3glh	escherichia_coli	P28630	P28631
3glh	escherichia_coli	P06710	P28630
3glh	escherichia_coli	P06710	P28631
3gew	escherichia_coli	P14191	P25401
3pdi	azotobacter_vinelandii	C1DH03	C1DH04
3pxg	bacillus_subtilis	P37571	P37958
1xme	thermus_thermophilus	P98052	Q56408
1xme	thermus_thermophilus	P82543	Q56408
1xme	thermus_thermophilus	P82543	P98052
2dqn	staphylococcus_aureus	P63488	P64201
2dqn	staphylococcus_aureus	P63488	P68807
2dqn	staphylococcus_aureus	P64201	P68807
2k5x	escherichia_coli	P09883	P13479
2inc	pseudomonas_stutzeri	O87798	O87802
2inc	pseudomonas_stutzeri	O87798	O87799
2inc	pseudomonas_stutzeri	O87799	O87802
1ccw	clostridium_cochlearium	P80077	P80078
1t0f	escherichia_coli	P05846	P13988
4dh2	clostridium_thermocellum	A3DCJ4	A3DCL1
4n6e	amycolatopsis_orientalis	D7RFL7	R4T9W5
2bmo	comamonas_sp.	Q8RTL3	Q8RTL4
2mly	escherichia_coli	U6N325	U6N3P1
1ht2	escherichia_coli	P0A6H5	P0A7B8
2w3r	rhodobacter_capsulatus	O54050	O54051
3cur	desulfovibrio_fructosovorans	P18187	P18188
1iw7	thermus_thermophilus	Q8RQE9	Q9Z9H6
1iw7	thermus_thermophilus	Q8RQE8	Q9Z9H6
1iw7	thermus_thermophilus	Q8RQE7	Q9Z9H6
1iw7	thermus_thermophilus	4239959	Q9Z9H6
1iw7	thermus_thermophilus	4239959	Q8RQE9
1iw7	thermus_thermophilus	4239959	Q8RQE8
1iw7	thermus_thermophilus	4239959	Q8RQE7
1e9z	helicobacter_pylori	P14916	P69996
2agz	alcaligenes_faecalis	P84887	P84888
3sle	paracoccus_denitrificans	A1BBA0	Q51658
3sle	paracoccus_denitrificans	A1BB97	Q51658
3sle	paracoccus_denitrificans	A1BB97	A1BBA0
1cqi	escherichia_coli	P0A836	P0AGE9
1mg2	paracoccus_denitrificans	P29894	P29899
1mg2	paracoccus_denitrificans	P22619	P29894
1mg2	paracoccus_denitrificans	P22364	P29894
2oxh	paracoccus_denitrificans	Q9LCU8	Q9LCU9
2bq1	salmonella_typhimurium	P17424	Q08698
2nua	escherichia_coli	P0A838	P0AGF1
1o7h	pseudomonas_putida	P0A110	P0A112
1ouz	escherichia_coli	P0A6X7	P0A6Y1
2ixq	-	Q57254	Q7BG36
2oo5	rhodospirillum_rubrum	P0C188	Q2RSB2
2mad	paracoccus_versutus	P22641	P23006
1lt3	escherichia_coli	P06717	P32890
3abr	escherichia_coli	P0AEJ6	P19636
2kvq	escherichia_coli	P0A7R5	P0AFG0
3hzh	borrelia_burgdorferi	O51614	O51615
4lw4	escherichia_coli	D5CZ88	Q46925
3q15	bacillus_subtilis	P06628	Q59HN8
1wql	pseudomonas_fluorescens	Q51743	Q51744
2nu6	escherichia_coli	P0A836	P0AGF1
1gla	escherichia_coli	P0A6F3	P69783
4iu3	ruminococcus_flavefaciens	A0AEF5	A0AEF6
1suy	thermosynechococcus_elongatus	Q79V60	Q79V62
2q5w	staphylococcus_aureus	P65401	Q7A441
4gzr	mycobacterium_tuberculosis	P9WNI5	P9WNI6
4g7x	vibrio_cholerae	A5F754	C6RZG1
4nqw	mycobacterium_tuberculosis	P9WGH6	P9WGX4
1wyv	thermus_thermophilus	55771907	55771908
4jkr	escherichia_coli	B1X6E7	K0AVA1
4jkr	escherichia_coli	B1X6E7	K0BCS5
4jkr	escherichia_coli	B1X6E7	K0BU55
4jkr	escherichia_coli	B1X6E7	P00579
4jkr	escherichia_coli	K0AVA1	K0BCS5
4jkr	escherichia_coli	K0AVA1	K0BU55
4jkr	escherichia_coli	K0AVA1	P00579
4jkr	escherichia_coli	K0BCS5	K0BU55
4jkr	escherichia_coli	K0BCS5	P00579
4jkr	escherichia_coli	K0BU55	P00579
4p6i	escherichia_coli	P45956	Q46896
1ffu	hydrogenophaga_pseudoflava	4098682	P19915
1ffu	hydrogenophaga_pseudoflava	4098682	P19914
1ffu	hydrogenophaga_pseudoflava	P19914	P19915
1kqf	escherichia_coli	P0AAJ3	P24183
1kqf	escherichia_coli	P0AAJ3	P0AEK7
1kqf	escherichia_coli	P0AEK7	P24183
3j5s	escherichia_coli	P0A9W3	P62399
3j5s	escherichia_coli	P0A7L0	P0A9W3
3j5s	escherichia_coli	P0A7L0	P62399
3j5s	escherichia_coli	P0A7L0	P0A7N9
3j5s	escherichia_coli	P0A7N9	P0A9W3
3j5s	escherichia_coli	P0A7N9	P62399
3j5s	escherichia_coli	P02359	P0A9W3
3j5s	escherichia_coli	P02359	P0A7L0
3j5s	escherichia_coli	P02359	P62399
3j5s	escherichia_coli	P02359	P0A7N9
2qe7	bacillus_sp.	Q71CG3	Q71CG5
2qe7	bacillus_sp.	Q71CG3	Q71CG4
2qe7	bacillus_sp.	Q71CG4	Q71CG5
2qe7	bacillus_sp.	Q71CG2	Q71CG5
2qe7	bacillus_sp.	Q71CG2	Q71CG3
2qe7	bacillus_sp.	Q71CG2	Q71CG4
3k5b	thermus_thermophilus	P74901	Q5SIT5
3lb8	pseudomonas_putida	P00259	P16640
4dnt	escherichia_coli	P38054	P77239
1t3q	pseudomonas_putida	P72223	P72224
1t3q	pseudomonas_putida	P72222	P72223
1t3q	pseudomonas_putida	P72222	P72224
3u44	bacillus_subtilis	P23477	P23478
3wmn	thermochromatium_tepidum	D2Z0P1	D2Z0P2
3wmn	thermochromatium_tepidum	D2Z0P1	D2Z0P5
3wmn	thermochromatium_tepidum	D2Z0P1	D2Z0P9
3wmn	thermochromatium_tepidum	D2Z0P1	D2Z0P3
3wmn	thermochromatium_tepidum	D2Z0P2	D2Z0P5
3wmn	thermochromatium_tepidum	D2Z0P2	D2Z0P9
3wmn	thermochromatium_tepidum	D2Z0P2	D2Z0P3
3wmn	thermochromatium_tepidum	D2Z0P5	D2Z0P9
3wmn	thermochromatium_tepidum	D2Z0P3	D2Z0P5
3wmn	thermochromatium_tepidum	D2Z0P3	D2Z0P9
3wmn	thermochromatium_tepidum	A8ASG6	D2Z0P1
3wmn	thermochromatium_tepidum	A8ASG6	D2Z0P2
3wmn	thermochromatium_tepidum	A8ASG6	D2Z0P5
3wmn	thermochromatium_tepidum	A8ASG6	D2Z0P9
3wmn	thermochromatium_tepidum	A8ASG6	D2Z0P3
4gyp	escherichia_coli	P0AES2	Q46915
2buv	acinetobacter_calcoaceticus	P20371	P20372
4j16	thermus_thermophilus	Q72GR8	Q72GS0
4kn7	escherichia_coli	P0A7Z4	P0A8V2
4kn7	escherichia_coli	P0A7Z4	P0A8T7
4kn7	escherichia_coli	P0A7Z4	P0A800
4kn7	escherichia_coli	P0A8T7	P0A8V2
4kn7	escherichia_coli	P0A800	P0A8V2
4kn7	escherichia_coli	P0A800	P0A8T7
4kn7	escherichia_coli	P00579	P0A7Z4
4kn7	escherichia_coli	P00579	P0A8V2
4kn7	escherichia_coli	P00579	P0A8T7
4kn7	escherichia_coli	P00579	P0A800
3cdk	bacillus_subtilis	P42315	P42316
4kn9	desulfomicrobium_baculatum	C7LN88	P13063
4iuc	ralstonia_eutropha	P31891	P31892
3rlm	paracoccus_denitrificans	P22619	Q51658
3rlm	paracoccus_denitrificans	A1BB97	P22619
1njp	deinococcus_radiodurans	Q9RX88	Q9RXJ5
2mlz	escherichia_coli	P00634	U6N325
1vrc	escherichia_coli	P0AA04	P69797
1ofh	haemophilus_influenzae	P43772	P43773
1wyu	thermus_thermophilus	Q5SKW7	Q5SKW8
3dw8	homo_sapiens	P30153	P63151
3dw8	homo_sapiens	P30153	P67775
3dw8	homo_sapiens	P63151	P67775
1ulj	rhodococcus_sp.	Q53122	Q53123
1mj1	escherichia_coli	Q01698	Q5SHN3
1mj1	escherichia_coli	P29395	Q01698
1mj1	escherichia_coli	P29395	Q5SHN3
1mj1	escherichia_coli	P29395	P80377
1mj1	escherichia_coli	P80377	Q01698
1mj1	escherichia_coli	P80377	Q5SHN3
1jqj	escherichia_coli	P0A988	P28630
2zle	escherichia_coli	P06996	P0C0V0
4jmf	pseudomonas_aeruginosa	G3XD93	Q9I788
2uy6	escherichia_coli	P04127	Q1R2W9
1z5y	escherichia_coli	P0AA86	P36655
4o9t	thermus_thermophilus	Q72GR9	Q72GS0
3iyy	escherichia_coli	D3QTE7	D3QYD6
3iyy	escherichia_coli	D3QTD7	D3QYD6
3iyy	escherichia_coli	D3QTD7	D3QTE7
1qs0	pseudomonas_putida	P09060	P09061
1i5k	homo_sapiens	P00747	P49054
3mml	mycobacterium_smegmatis	A0QPL0	A0QPL1
4ogq	nostoc_sp.	P0A384	Q93SX1
4ogq	nostoc_sp.	P0A384	Q93SW9
4ogq	nostoc_sp.	P0A384	Q93SX0
4ogq	nostoc_sp.	P0A384	Q8YVQ2
4ogq	nostoc_sp.	P0A384	P0A3Y1
4ogq	nostoc_sp.	P0A384	P58246
4ogq	nostoc_sp.	Q93SW9	Q93SX1
4ogq	nostoc_sp.	Q93SW9	Q93SX0
4ogq	nostoc_sp.	Q93SX0	Q93SX1
4ogq	nostoc_sp.	Q8YVQ2	Q93SX1
4ogq	nostoc_sp.	Q8YVQ2	Q93SW9
4ogq	nostoc_sp.	Q8YVQ2	Q93SX0
4ogq	nostoc_sp.	P0A3Y1	Q93SX1
4ogq	nostoc_sp.	P0A3Y1	Q93SW9
4ogq	nostoc_sp.	P0A3Y1	Q93SX0
4ogq	nostoc_sp.	P0A3Y1	Q8YVQ2
4ogq	nostoc_sp.	P0A3Y1	P58246
4ogq	nostoc_sp.	P58246	Q93SX1
4ogq	nostoc_sp.	P58246	Q93SW9
4ogq	nostoc_sp.	P58246	Q93SX0
4ogq	nostoc_sp.	P58246	Q8YVQ2
1th8	geobacillus_stearothermophilus	O32726	O32727
1ofu	pseudomonas_aeruginosa	P47204	Q9HZJ8
3uus	escherichia_coli	P00452	P69924
4sgb	streptomyces_griseus	P00777	P01080
3lvj	escherichia_coli	P0A6B9	P0A892
1tqy	streptomyces_coelicolor	Q02059	Q02062
3r9x	aquifex_aeolicus	O67680	O67800
2d1p	escherichia_coli	P45531	P45532
2d1p	escherichia_coli	P45530	P45532
2d1p	escherichia_coli	P45530	P45531
1rsc	synechococcus_elongatus	P00880	P04716
3fpn	geobacillus_stearothermophilus	D0VX12	D0VX13
1kmi	escherichia_coli	P0A9H9	P0AE67
4khz	escherichia_coli	C9QV42	P0AEX9
4khz	escherichia_coli	C9QV42	P02916
4khz	escherichia_coli	C9QV42	C9QV46
4khz	escherichia_coli	C9QV46	P0AEX9
4khz	escherichia_coli	C9QV46	P02916
1i7s	serratia_marcescens	P00897	P00900
2v8a	thermosynechococcus_elongatus	P50030	P50031
1r4p	escherichia_coli	P09385	P09386
2jaz	escherichia_coli	Q03708	Q47112
3tui	escherichia_coli	P30750	P31547
1nvm	pseudomonas_sp.	P51016	Q52060
2w19	mycobacterium_tuberculosis	O53512	P9WIC0
4hg6	rhodobacter_sphaeroides	Q3J125	Q3J126
2wiu	escherichia_coli	P23873	P23874
1ktp	thermosynechococcus_vulcanus	P50032	P50033
2vdc	azospirillum_brasilense	Q05755	Q05756
2hyb	allochromatium_vinosum	O87896	O87897
2hyb	allochromatium_vinosum	O87896	O87898
2hyb	allochromatium_vinosum	O87897	O87898
1jzz	deinococcus_radiodurans	Q9RXJ7	Q9RXK1
1jzz	deinococcus_radiodurans	P49228	Q9RXK1
1jzz	deinococcus_radiodurans	P49228	Q9RXJ7
1w85	geobacillus_stearothermophilus	P21873	P21874
1w85	geobacillus_stearothermophilus	P11961	P21873
1w85	geobacillus_stearothermophilus	P11961	P21874
2v1c	deinococcus_radiodurans	Q9RW50	Q9ZNA2
1xou	escherichia_coli	O52124	Q47184
4h0l	mastigocladus_laminosus	P83791	P83792
4h0l	mastigocladus_laminosus	P83791	P83793
4h0l	mastigocladus_laminosus	P83791	P83794
4h0l	mastigocladus_laminosus	P83791	P83795
4h0l	mastigocladus_laminosus	P83791	P83796
4h0l	mastigocladus_laminosus	P83791	P83797
4h0l	mastigocladus_laminosus	P83792	P83793
4h0l	mastigocladus_laminosus	P83792	P83794
4h0l	mastigocladus_laminosus	P83792	P83795
4h0l	mastigocladus_laminosus	P83792	P83796
4h0l	mastigocladus_laminosus	P83792	P83797
4h0l	mastigocladus_laminosus	P83793	P83794
4h0l	mastigocladus_laminosus	P83793	P83795
4h0l	mastigocladus_laminosus	P83793	P83796
4h0l	mastigocladus_laminosus	P83793	P83797
4h0l	mastigocladus_laminosus	P83794	P83795
4h0l	mastigocladus_laminosus	P83794	P83796
4h0l	mastigocladus_laminosus	P83794	P83797
4h0l	mastigocladus_laminosus	P83795	P83796
4h0l	mastigocladus_laminosus	P83795	P83797
4h0l	mastigocladus_laminosus	P83796	P83797
2xko	synechococcus_elongatus	P29283	Q7X386
3a7a	escherichia_coli	P0A6T9	P32099
1y5i	escherichia_coli	P09152	P11350
1y5i	escherichia_coli	P11349	P11350
3vsh	comamonas_testosteroni	Q6J1Z5	Q6J1Z6
3hug	mycobacterium_tuberculosis	P9WGH5	P9WJ66
2iss	thermotoga_maritima	Q9WYU3	Q9WYU4
2gag	stenotrophomonas_maltophilia	Q3ZDQ8	Q3ZDQ9
2gag	stenotrophomonas_maltophilia	63146664	Q3ZDQ8
